Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Bakery,Product_1,287,5,81,273,1268,1,4
Fruits,Product_2,289,40,130,173,841,0,9
Snacks,Product_3,37,10,131,33,1121,0,8
Bakery,Product_4,134,30,54,94,1510,1,4
Fruits,Product_5,493,15,77,419,438,0,2
Beverages,Product_6,184,5,133,175,1166,0,4
Vegetables,Product_7,168,5,79,160,614,1,3
Dairy,Product_8,54,40,84,32,497,0,10
Bakery,Product_9,37,40,35,22,1202,1,6
Beverages,Product_10,188,15,51,160,703,0,9
Beverages,Product_11,407,20,172,326,308,1,8
Bakery,Product_12,246,5,76,234,70,1,9
Beverages,Product_13,473,40,195,284,790,0,2
Dairy,Product_14,70,30,115,49,759,1,4
Snacks,Product_15,161,30,144,113,1809,1,1
Dairy,Product_16,347,10,72,312,723,0,10
Beverages,Product_17,36,15,98,31,168,0,7
Bakery,Product_18,114,40,114,68,1617,0,9
Snacks,Product_19,234,50,181,117,1223,1,7
Snacks,Product_20,462,30,75,323,922,0,4
Beverages,Product_21,255,30,199,178,1198,1,1
Dairy,Product_22,144,25,168,108,840,0,6
Bakery,Product_23,390,50,95,195,1580,1,1
Fruits,Product_24,24,15,99,20,1430,0,3
Snacks,Product_25,49,5,48,47,1643,1,5
Beverages,Product_26,219,10,132,197,1275,1,3
Beverages,Product_27,77,25,60,58,1260,0,3
Vegetables,Product_28,80,10,200,72,417,1,4
Bakery,Product_29,205,20,42,164,924,0,10
Beverages,Product_30,85,40,34,51,462,0,4
Vegetables,Product_31,427,25,150,320,1074,1,2
Beverages,Product_32,140,15,68,119,724,1,10
Fruits,Product_33,115,40,92,69,295,1,8
Bakery,Product_34,459,10,102,413,1042,0,1
Beverages,Product_35,268,15,198,228,932,0,2
Bakery,Product_36,313,10,163,282,1523,1,2
Bakery,Product_37,364,15,140,309,1007,0,6
Beverages,Product_38,473,5,162,449,1514,1,4
Dairy,Product_39,262,40,58,157,359,1,9
Fruits,Product_40,437,30,151,306,1991,1,5
Vegetables,Product_41,425,20,46,340,1876,1,9
Bakery,Product_42,441,15,78,375,1595,0,3
Fruits,Product_43,81,25,96,61,1331,0,1
Fruits,Product_44,302,50,106,151,552,1,4
Dairy,Product_45,336,15,14,286,77,1,6
Dairy,Product_46,323,10,161,291,98,0,7
Fruits,Product_47,138,20,121,110,716,0,3
Fruits,Product_48,417,10,83,375,976,0,1
Bakery,Product_49,244,20,11,195,1345,1,7
Fruits,Product_50,364,40,43,218,781,1,8
Snacks,Product_51,208,50,18,104,1113,0,7
Fruits,Product_52,464,10,103,418,1707,0,10
